serve_api: request defaults HALOGEN_MAX_TOKENS_DEFAULT=65536, HALOGEN_TEMPERATURE=1.0, HALOGEN_TOP_P=0.95, HALOGEN_TOP_K=20, HALOGEN_MAX_THINKING_TOKENS=26000
serve_api: engine at 127.0.0.1:8730, listening on 0.0.0.0:8080
serve_api: request defaults HALOGEN_MAX_TOKENS_DEFAULT=65536, HALOGEN_TEMPERATURE=1.0, HALOGEN_TOP_P=0.95, HALOGEN_TOP_K=20, HALOGEN_MAX_THINKING_TOKENS=26000 (a field the request sends wins; temperature 0 in a request is greedy and takes no sampling default)
serve_api: version 0.8.1, engine version 0.8.1
serve_api: mtp 179 tok in 4.64s = 38.55 t/s | 106 rounds, commit 1.68/round | prompt 1427, prefill 5.92s | detok 25us/tok | pld 7 rounds, 1.86 acc/round
serve_api: mtp 189 tok in 4.76s = 39.73 t/s | 112 rounds, commit 1.68/round | prompt 1427 (1277 cached), prefill 1.52s | detok 35us/tok | pld 6 rounds, 1.83 acc/round
serve_api: mtp 154 tok in 3.78s = 40.78 t/s | 89 rounds, commit 1.72/round | prompt 1427 (1277 cached), prefill 1.52s | detok 36us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 159 tok in 3.98s = 39.97 t/s | 95 rounds, commit 1.66/round | prompt 1427 (1277 cached), prefill 1.48s | detok 37us/tok | pld 5 rounds, 2.40 acc/round
serve_api: mtp 158 tok in 4.16s = 37.96 t/s | 98 rounds, commit 1.60/round | prompt 1427 (1277 cached), prefill 1.52s | detok 33us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 173 tok in 4.37s = 39.62 t/s | 107 rounds, commit 1.61/round | prompt 1425 (1277 cached), prefill 1.46s | detok 33us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 156 tok in 3.92s = 39.77 t/s | 92 rounds, commit 1.68/round | prompt 1427 (1277 cached), prefill 1.52s | detok 31us/tok | pld 7 rounds, 2.00 acc/round
serve_api: mtp 169 tok in 4.30s = 39.34 t/s | 102 rounds, commit 1.65/round | prompt 1427 (1277 cached), prefill 1.50s | detok 31us/tok | pld 5 rounds, 2.00 acc/round
serve_api: mtp 157 tok in 3.99s = 39.32 t/s | 94 rounds, commit 1.66/round | prompt 1427 (1277 cached), prefill 1.51s | detok 28us/tok | pld 7 rounds, 2.00 acc/round
serve_api: mtp 140 tok in 4.01s = 34.88 t/s | 81 rounds, commit 1.72/round | prompt 1427 (1277 cached), prefill 1.51s | detok 32us/tok | pld 5 rounds, 2.40 acc/round
serve_api: mtp 171 tok in 4.20s = 40.67 t/s | 103 rounds, commit 1.65/round | prompt 1427 (1277 cached), prefill 1.50s | detok 29us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 146 tok in 3.74s = 39.08 t/s | 88 rounds, commit 1.65/round | prompt 1427 (1277 cached), prefill 1.47s | detok 31us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 145 tok in 3.53s = 41.10 t/s | 83 rounds, commit 1.73/round | prompt 1427 (1277 cached), prefill 1.52s | detok 26us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 156 tok in 3.86s = 40.37 t/s | 91 rounds, commit 1.70/round | prompt 1427 (1277 cached), prefill 1.51s | detok 25us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 145 tok in 3.63s = 40.00 t/s | 85 rounds, commit 1.69/round | prompt 1427 (1277 cached), prefill 1.51s | detok 28us/tok | pld 6 rounds, 2.17 acc/round
serve_api: mtp 157 tok in 4.05s = 38.79 t/s | 95 rounds, commit 1.64/round | prompt 1427 (1277 cached), prefill 1.52s | detok 26us/tok | pld 7 rounds, 2.00 acc/round
serve_api: mtp 158 tok in 4.72s = 33.45 t/s | 90 rounds, commit 1.74/round | prompt 1425 (1277 cached), prefill 1.52s | detok 33us/tok | pld 7 rounds, 2.00 acc/round
serve_api: mtp 191 tok in 4.92s = 38.80 t/s | 116 rounds, commit 1.64/round | prompt 1427 (1277 cached), prefill 1.49s | detok 35us/tok | pld 7 rounds, 1.71 acc/round
serve_api: mtp 203 tok in 5.25s = 38.68 t/s | 124 rounds, commit 1.63/round | prompt 1427 (1277 cached), prefill 1.46s | detok 42us/tok | pld 8 rounds, 1.62 acc/round
